Team,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Arsenal,2,4,4,3,4,3,4,3,4,4,3,2,6,5
Aston Villa,10,16,11,6,6,6,9,16,15,15,17,20,,
Birmingham,12,18,,19,,9,18,,,,,,,
Blackburn,15,6,10,7,15,10,15,19,,,,,,
Blackpool,,,,,,,19,,,,,,,
Bolton,6,8,7,16,13,14,14,18,,,,,,
Bournemouth,,,,,,,,,,,,16,12,12
Bradford,,,,,,,,,,,,,,
Brighton,,,,,,,,,,,,,15,13
Burnley,,,,,,18,,,,,19,,7,18
Cardiff,,,,,,,,,,20,,,,16
Charlton,11,13,19,,,,,,,,,,,
Chelsea,1,1,2,2,3,1,2,6,3,3,1,10,5,4
Coventry,,,,,,,,,,,,,,
Crystal Palace,18,,,,,,,,,11,10,15,11,14
Derby,,,,20,,,,,,,,,,
Everton,4,11,6,5,5,8,7,7,6,5,11,11,8,10
Fulham,13,12,,17,7,12,8,9,12,19,,,,19
Huddersfield,,,,,,,,,,,,,16,20
Hull,,,,,17,19,,,,16,18,,,
Ipswich,,,,,,,,,,,,,,
Leeds,,,,,,,,,,,,,,
Leicester,,,,,,,,,,,14,1,9,7
Liverpool,5,3,3,4,2,7,6,8,7,2,6,8,4,1
Man City,8,15,14,9,10,5,3,1,2,1,2,4,1,3
Man United,3,2,1,1,1,2,1,2,1,7,4,5,2,6
Middlesboro,7,14,12,13,19,,,,,,,,,
Middlesbrough,7,14,12,13,19,,,,,,,,,
Newcastle,14,7,13,12,18,,12,5,16,10,15,18,10,15
Norwich,19,,,,,,,12,11,18,,19,,
Portsmouth,16,17,9,8,14,20,,,,,,,,
QPR,,,,,,,,17,20,,,,,
Reading,,,8,18,,,,,19,,20,,,
Sheffield United,,,18,,,,,,,,,,,
Southampton,20,,,,,,,,14,8,7,6,17,17
Stoke,,,,,12,11,13,14,13,9,9,9,19,
Sunderland,,20,,15,16,13,10,13,17,14,16,17,,
Swansea,,,,,,,,11,9,12,8,12,18,
Tottenham,9,5,5,11,8,4,5,4,5,6,5,3,3,2
Watford,,,20,,,,,,,,,13,14,9
West Brom,17,19,,,20,,11,10,8,17,13,14,20,
West Ham,,9,15,10,9,17,20,,10,13,12,7,13,11
Wigan,,10,,14,11,16,16,15,18,,,,,8
Wolves,,,,,,15,17,20,,,,,,
Wimbledon,,,,,,,,,,,,,,